branching,condition_name,curvature_std,depth,distal_weight,edge_betweenness_max,edge_betweenness_mean,edge_betweenness_std,edge_score_fn,experiment_name,global_efficiency,intervention_mode,load_std,maintenance_cost,max_curvature,max_edge_load,mean_active_distal_weight,mean_curvature,mean_hops,mean_shortest_path,mean_transport_cost,median_curvature,median_hops,median_transport_cost,min_curvature,n_active,n_active_distal_edges,n_edges_curvature,n_pairs,non_tail_edge_load_mean,objective_J,pair_hops,placement_mode,q05_curvature,q10_curvature,q25_curvature,seed,tail_edge_fraction_loaded,tail_edge_load_mean,tail_load_fraction,tail_maintenance_cost,tail_quantile,transport_cost_std
2,targeted_n05,0.2595441129752289,4,0.8,0.17526881720430107,0.11539170506912444,0.036820939763207626,max_depth_separation,targeted_vs_random,0.3221889400921647,sparse_tail,37.13764798636532,11.25,0.33333333333333337,192,0.8,-0.11245229324937966,4.152,3.9294623655913976,4.0402,-0.196803057319465,4.0,4.0,-0.33390757418560835,5,5.0,35.0,1000,93.76190476190476,21.4007376344086,"[3, 3, 3, 6, 4, 8, 7, 5, 4, 1, 6, 3, 4, 5, 4, 4, 4, 4, 3, 5, 3, 2, 4, 2, 4, 5, 5, 5, 1, 2, 4, 3, 4, 6, 5, 5, 3, 4, 1, 3, 4, 5, 7, 3, 4, 2, 7, 6, 6, 2, 5, 6, 4, 3, 3, 3, 3, 2, 6, 4, 6, 3, 6, 4, 3, 3, 5, 6, 4, 4, 4, 6, 5, 4, 2, 3, 7, 6, 2, 4, 5, 5, 3, 6, 6, 6, 2, 3, 4, 5, 5, 4, 6, 5, 6, 4, 1, 6, 5, 6, 4, 5, 5, 4, 4, 1, 6, 6, 5, 2, 4, 6, 5, 6, 1, 5, 4, 4, 4, 2, 3, 5, 4, 3, 4, 5, 3, 2, 5, 3, 5, 5, 3, 2, 6, 7, 7, 2, 5, 6, 3, 2, 2, 2, 6, 5, 1, 4, 5, 6, 6, 6, 5, 4, 7, 4, 5, 3, 6, 3, 6, 6, 5, 2, 4, 6, 6, 4, 5, 2, 5, 2, 4, 6, 7, 7, 4, 5, 4, 4, 5, 3, 1, 2, 6, 5, 5, 3, 6, 4, 5, 4, 5, 7, 1, 4, 6, 5, 3, 4, 6, 5, 3, 3, 5, 2, 4, 5, 5, 7, 2, 4, 6, 6, 3, 4, 6, 4, 2, 7, 6, 4, 3, 4, 4, 4, 4, 5, 2, 6, 5, 5, 2, 5, 6, 3, 4, 2, 2, 2, 1, 4, 6, 5, 3, 5, 4, 5, 5, 6, 5, 5, 5, 4, 3, 6, 4, 4, 2, 4, 4, 4, 5, 6, 6, 5, 6, 3, 4, 7, 6, 6, 4, 6, 5, 4, 1, 6, 2, 5, 5, 5, 3, 1, 4, 3, 2, 5, 3, 5, 2, 4, 3, 3, 6, 3, 6, 7, 4, 2, 5, 4, 3, 1, 1, 7, 3, 4, 1, 2, 4, 2, 6, 4, 4, 4, 7, 6, 6, 5, 6, 5, 3, 4, 2, 3, 3, 1, 2, 3, 5, 5, 5, 5, 4, 7, 5, 6, 7, 2, 5, 3, 3, 6, 6, 5, 6, 6, 3, 2, 6, 6, 5, 3, 3, 5, 6, 5, 5, 5, 6, 8, 4, 8, 1, 6, 3, 3, 3, 4, 2, 6, 3, 3, 6, 6, 5, 7, 3, 3, 6, 7, 6, 4, 6, 3, 3, 3, 6, 5, 4, 4, 3, 2, 5, 6, 7, 4, 3, 6, 7, 3, 4, 4, 4, 4, 2, 6, 5, 5, 1, 4, 6, 3, 5, 4, 4, 1, 4, 4, 5, 5, 5, 4, 4, 4, 4, 1, 5, 3, 3, 1, 2, 3, 5, 7, 5, 4, 7, 3, 4, 7, 3, 5, 4, 1, 3, 4, 2, 4, 4, 3, 3, 4, 2, 4, 6, 7, 3, 4, 1, 1, 6, 4, 6, 3, 4, 3, 2, 3, 5, 5, 3, 5, 3, 5, 2, 4, 3, 5, 3, 4, 5, 3, 4, 3, 2, 3, 4, 4, 5, 2, 6, 6, 8, 4, 5, 4, 6, 3, 5, 2, 4, 4, 4, 4, 5, 3, 5, 4, 4, 7, 6, 6, 2, 2, 1, 3, 2, 5, 5, 5, 2, 2, 2, 6, 4, 3, 3, 3, 3, 3, 2, 7, 3, 4, 3, 5, 1, 3, 2, 3, 3, 4, 4, 5, 5, 5, 5, 5, 3, 4, 7, 4, 2, 6, 8, 3, 4, 4, 3, 4, 3, 6, 7, 6, 3, 3, 7, 1, 4, 4, 1, 3, 6, 3, 2, 3, 5, 4, 5, 4, 5, 3, 3, 5, 4, 2, 4, 5, 5, 5, 5, 4, 5, 4, 3, 5, 4, 2, 5, 4, 2, 4, 3, 4, 4, 5, 5, 6, 2, 2, 8, 5, 5, 3, 5, 7, 1, 4, 3, 4, 4, 5, 6, 7, 1, 3, 4, 1, 4, 4, 1, 2, 4, 6, 7, 4, 7, 4, 3, 6, 7, 6, 7, 1, 3, 2, 6, 4, 6, 5, 6, 6, 4, 4, 4, 5, 2, 4, 8, 4, 6, 5, 7, 4, 7, 4, 2, 6, 1, 3, 4, 1, 5, 3, 4, 3, 5, 4, 3, 7, 3, 3, 4, 6, 2, 1, 1, 4, 4, 3, 4, 6, 3, 3, 3, 2, 4, 5, 4, 5, 1, 3, 6, 1, 3, 3, 1, 4, 2, 5, 2, 4, 7, 5, 2, 6, 4, 5, 8, 3, 5, 5, 6, 4, 3, 4, 6, 5, 1, 4, 2, 3, 1, 6, 4, 6, 1, 3, 5, 4, 2, 6, 4, 4, 3, 1, 6, 3, 4, 7, 3, 6, 5, 6, 2, 2, 4, 2, 2, 5, 1, 5, 2, 2, 7, 5, 4, 4, 3, 1, 6, 2, 4, 6, 3, 3, 5, 5, 4, 6, 6, 4, 1, 7, 4, 2, 5, 4, 3, 3, 6, 4, 1, 5, 7, 5, 6, 6, 6, 4, 7, 4, 7, 1, 6, 5, 5, 7, 5, 7, 4, 7, 5, 6, 4, 1, 4, 6, 6, 7, 5, 3, 1, 4, 4, 2, 3, 7, 4, 6, 6, 6, 5, 4, 5, 4, 5, 5, 4, 6, 6, 6, 1, 1, 3, 2, 4, 6, 4, 1, 3, 4, 7, 5, 4, 2, 6, 1, 3, 5, 5, 6, 6, 2, 6, 4, 4, 2, 3, 4, 2, 3, 2, 5, 4, 5, 3, 2, 4, 6, 4, 6, 1, 3, 5, 3, 5, 6, 6, 2, 3, 4, 3, 7, 4, 3, 5, 4, 7, 1, 7, 5, 6, 1, 3, 5, 4, 3, 6, 1, 4, 3, 5, 7, 5, 5, 2, 2, 5, 4, 6, 1, 5, 6, 6, 5, 6, 3, 4, 4, 6, 4, 4, 2, 3, 4, 6, 7, 3, 1, 3, 1, 1, 6, 3, 2, 4, 4, 4, 4, 5, 2, 4, 3, 2, 5, 5, 3, 5, 8, 4, 5, 4, 4, 6, 3, 5, 5, 2, 3, 3, 7, 3, 6, 5, 6, 2, 5, 5, 4, 1, 4, 8, 7, 4, 2, 4, 1, 3, 4, 6, 1, 7, 5, 2, 3, 6, 5]",targeted,-0.33350560558901576,-0.33333333333333326,-0.33333333333333326,42,0.4,155.92857142857142,0.5257707129094412,0.0,0.1,1.607415304145136
2,random_n05,0.2931100179842259,4,0.8,0.21827956989247313,0.11201228878648233,0.048258490708402366,,targeted_vs_random,0.3291295442908336,sparse_tail,54.270103018445184,11.25,0.33333333333333337,250,0.8,-0.09013310699452945,3.979,3.784946236559139,3.8433999999999995,-0.196803057319465,4.0,3.8,-0.4097756822385421,5,5.0,35.0,1000,102.6,23.029959139784946,"[5, 2, 2, 6, 5, 7, 4, 3, 4, 4, 3, 6, 3, 5, 4, 3, 7, 4, 2, 5, 6, 7, 5, 2, 6, 6, 3, 6, 4, 1, 2, 2, 1, 4, 4, 5, 3, 4, 6, 2, 3, 3, 2, 3, 2, 6, 5, 5, 4, 3, 2, 3, 3, 6, 5, 4, 4, 5, 3, 4, 1, 5, 2, 2, 3, 4, 5, 3, 6, 4, 3, 2, 4, 2, 6, 4, 7, 2, 6, 5, 6, 7, 2, 4, 4, 4, 5, 5, 3, 4, 2, 6, 2, 5, 4, 4, 5, 5, 2, 4, 4, 5, 6, 5, 5, 2, 4, 2, 4, 5, 3, 7, 4, 4, 4, 5, 2, 6, 5, 4, 6, 4, 5, 1, 6, 2, 5, 2, 3, 5, 5, 1, 5, 4, 4, 1, 4, 5, 5, 5, 4, 2, 4, 2, 5, 7, 4, 1, 5, 3, 6, 5, 5, 3, 4, 1, 2, 5, 5, 4, 2, 6, 1, 5, 3, 5, 4, 5, 4, 5, 3, 3, 2, 4, 2, 4, 5, 4, 2, 4, 4, 4, 5, 5, 4, 6, 3, 6, 2, 1, 2, 4, 5, 7, 2, 7, 3, 4, 5, 3, 4, 3, 7, 3, 4, 1, 3, 1, 6, 2, 4, 3, 3, 3, 4, 5, 4, 7, 4, 4, 7, 4, 4, 3, 3, 4, 7, 4, 7, 3, 5, 6, 4, 2, 7, 3, 4, 2, 3, 4, 3, 4, 5, 2, 4, 7, 2, 1, 5, 4, 5, 2, 6, 5, 5, 5, 6, 3, 6, 5, 1, 4, 1, 2, 3, 5, 3, 4, 4, 7, 5, 5, 7, 2, 5, 3, 2, 3, 4, 4, 2, 5, 3, 4, 4, 2, 6, 2, 7, 6, 3, 8, 2, 5, 2, 3, 3, 5, 3, 1, 7, 3, 7, 5, 1, 4, 4, 5, 2, 6, 3, 6, 4, 6, 5, 2, 4, 4, 4, 1, 2, 5, 4, 3, 4, 3, 6, 2, 5, 1, 5, 5, 4, 4, 4, 2, 6, 4, 4, 6, 6, 6, 3, 5, 2, 3, 4, 4, 6, 4, 4, 4, 5, 2, 2, 5, 6, 5, 4, 5, 6, 2, 5, 1, 5, 6, 4, 1, 4, 3, 6, 2, 6, 3, 2, 2, 4, 5, 7, 5, 6, 7, 1, 3, 4, 2, 4, 5, 3, 3, 5, 4, 4, 2, 3, 3, 4, 4, 5, 4, 3, 5, 2, 4, 4, 1, 2, 2, 1, 4, 8, 5, 4, 3, 4, 3, 1, 2, 5, 4, 2, 4, 5, 1, 6, 4, 4, 4, 4, 6, 3, 3, 3, 5, 7, 4, 3, 6, 4, 4, 2, 4, 5, 3, 4, 3, 3, 5, 2, 6, 2, 2, 5, 4, 2, 6, 4, 6, 3, 6, 5, 3, 2, 1, 4, 1, 7, 3, 4, 4, 4, 5, 5, 4, 5, 3, 4, 3, 6, 1, 8, 5, 4, 3, 1, 5, 3, 3, 5, 3, 4, 5, 5, 2, 5, 7, 3, 7, 5, 6, 3, 3, 4, 5, 6, 4, 3, 4, 2, 2, 5, 4, 5, 3, 3, 2, 4, 4, 5, 4, 1, 5, 3, 2, 3, 4, 1, 4, 7, 5, 4, 6, 3, 6, 5, 5, 5, 3, 5, 6, 1, 5, 3, 3, 5, 5, 7, 3, 1, 4, 4, 5, 2, 6, 1, 5, 5, 3, 5, 3, 7, 4, 4, 3, 4, 5, 2, 7, 1, 4, 4, 4, 2, 5, 6, 5, 3, 6, 5, 4, 6, 6, 1, 4, 2, 3, 3, 3, 4, 7, 3, 2, 3, 5, 5, 1, 2, 4, 1, 7, 2, 3, 4, 6, 3, 6, 7, 4, 3, 2, 7, 4, 6, 4, 4, 4, 5, 2, 4, 4, 7, 6, 5, 3, 1, 2, 5, 6, 6, 1, 4, 2, 4, 6, 5, 2, 2, 2, 4, 6, 6, 5, 3, 4, 6, 1, 3, 1, 3, 2, 5, 2, 3, 3, 6, 7, 6, 4, 5, 3, 6, 3, 3, 4, 5, 7, 4, 7, 4, 5, 4, 6, 3, 4, 2, 4, 2, 3, 5, 6, 3, 1, 8, 1, 6, 4, 2, 2, 1, 2, 1, 4, 4, 5, 8, 3, 4, 7, 4, 3, 5, 5, 6, 6, 6, 6, 5, 5, 4, 4, 3, 2, 1, 2, 2, 5, 4, 1, 4, 5, 3, 4, 5, 6, 3, 7, 2, 2, 3, 6, 5, 7, 4, 3, 2, 2, 5, 2, 2, 2, 6, 3, 5, 6, 2, 5, 4, 6, 4, 3, 4, 6, 4, 4, 2, 3, 6, 6, 3, 4, 5, 5, 5, 3, 7, 4, 5, 5, 5, 6, 3, 3, 6, 4, 4, 5, 6, 4, 5, 5, 3, 3, 1, 5, 2, 3, 4, 2, 5, 3, 5, 4, 5, 4, 4, 4, 5, 5, 4, 1, 4, 4, 1, 3, 5, 6, 4, 2, 3, 6, 6, 5, 5, 6, 4, 5, 6, 4, 6, 3, 6, 7, 6, 4, 5, 3, 3, 4, 6, 3, 4, 5, 3, 4, 6, 5, 4, 4, 5, 1, 5, 1, 5, 6, 3, 3, 5, 4, 6, 5, 3, 5, 7, 4, 5, 5, 4, 5, 1, 6, 4, 7, 5, 1, 6, 7, 4, 6, 2, 2, 3, 7, 4, 5, 6, 7, 4, 5, 5, 6, 2, 4, 5, 2, 2, 3, 4, 5, 3, 4, 3, 4, 5, 5, 4, 2, 5, 5, 2, 2, 4, 2, 1, 4, 3, 3, 4, 5, 2, 5, 4, 3, 4, 3, 4, 4, 3, 4, 2, 1, 1, 2, 4, 2, 7, 5, 4, 5, 1, 3, 2, 4, 2, 4, 3, 3, 3, 3, 4, 5, 6, 3, 4, 4, 2, 3, 2, 5, 5, 3, 4, 5, 5, 2, 2, 7, 7, 3, 3, 5, 3, 6, 3, 5, 6, 3, 5, 5, 3, 2, 4, 5, 3, 3, 4, 3, 3, 4, 3, 2, 6, 4, 1, 6, 1, 3, 6, 2, 4, 3, 6, 1, 5, 3, 5, 7, 4, 4, 5, 4]",random,-0.40877179025595,-0.40877179025595,-0.33333333333333326,42,0.14285714285714285,180.2,0.22643880371952751,0.0,0.1,1.5398689684515368
2,targeted_n10,0.17994644253094813,4,0.8,0.16775985663082435,0.09215053763440859,0.031638251130919705,max_depth_separation,targeted_vs_random,0.348038914490526,sparse_tail,32.913940815405255,22.5,0.33333333333333337,156,0.8,-0.16227928418740092,3.726,3.5277419354838706,3.5575999999999994,-0.196803057319465,4.0,3.8,-0.33390757418560835,10,10.0,40.0,1000,77.96153846153847,31.07311971326165,"[5, 7, 2, 2, 5, 5, 1, 1, 3, 4, 4, 4, 3, 4, 3, 4, 4, 5, 3, 1, 4, 3, 5, 2, 1, 3, 6, 2, 5, 4, 7, 5, 5, 5, 4, 6, 3, 1, 1, 2, 1, 4, 5, 6, 4, 4, 6, 4, 6, 3, 4, 5, 4, 2, 3, 5, 4, 2, 2, 6, 4, 1, 3, 7, 4, 5, 3, 2, 1, 4, 3, 4, 4, 2, 4, 4, 3, 3, 2, 3, 2, 4, 6, 3, 4, 3, 5, 4, 1, 5, 2, 7, 1, 4, 4, 2, 3, 4, 3, 2, 1, 5, 5, 3, 3, 6, 4, 5, 3, 6, 4, 4, 3, 2, 4, 4, 4, 4, 4, 3, 1, 5, 5, 4, 4, 3, 5, 4, 3, 3, 3, 4, 4, 6, 4, 4, 4, 1, 5, 5, 2, 5, 1, 4, 2, 4, 4, 4, 1, 4, 1, 1, 3, 4, 6, 4, 3, 3, 5, 5, 4, 5, 3, 1, 6, 3, 6, 1, 5, 2, 4, 3, 2, 3, 5, 3, 6, 5, 6, 6, 6, 7, 1, 5, 2, 5, 4, 7, 3, 3, 5, 4, 5, 6, 6, 5, 5, 3, 6, 3, 4, 5, 7, 1, 4, 5, 4, 4, 4, 5, 1, 2, 4, 3, 1, 3, 5, 3, 4, 4, 3, 4, 7, 4, 3, 4, 5, 1, 1, 4, 4, 2, 5, 4, 3, 4, 6, 6, 2, 4, 4, 4, 6, 3, 4, 2, 3, 5, 5, 5, 5, 3, 4, 6, 2, 4, 5, 5, 5, 2, 5, 2, 3, 5, 6, 5, 2, 2, 2, 4, 3, 5, 4, 6, 6, 6, 2, 6, 7, 2, 4, 4, 5, 3, 2, 4, 7, 3, 5, 5, 4, 2, 5, 3, 3, 1, 4, 2, 4, 2, 5, 3, 4, 1, 3, 2, 3, 3, 4, 4, 5, 2, 2, 3, 4, 2, 2, 4, 4, 2, 4, 1, 4, 5, 5, 3, 6, 5, 3, 4, 4, 4, 3, 6, 6, 3, 4, 3, 3, 2, 3, 2, 1, 3, 5, 2, 6, 4, 6, 6, 3, 5, 2, 6, 7, 1, 5, 4, 2, 3, 4, 1, 3, 6, 5, 3, 5, 3, 4, 3, 3, 4, 1, 2, 6, 3, 5, 3, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 2, 4, 5, 4, 3, 4, 2, 4, 6, 4, 3, 4, 5, 3, 4, 1, 6, 7, 3, 3, 5, 3, 3, 4, 3, 2, 4, 4, 3, 6, 6, 4, 6, 4, 6, 4, 3, 1, 6, 4, 2, 6, 2, 4, 2, 3, 4, 5, 3, 4, 1, 4, 4, 2, 4, 3, 6, 4, 2, 5, 5, 2, 3, 3, 4, 4, 5, 3, 3, 4, 1, 5, 4, 6, 7, 4, 4, 4, 2, 1, 4, 3, 3, 5, 4, 4, 7, 4, 7, 2, 2, 2, 4, 3, 1, 5, 3, 6, 3, 3, 2, 5, 4, 3, 3, 2, 5, 2, 4, 6, 1, 4, 2, 3, 5, 3, 1, 2, 2, 2, 2, 2, 4, 3, 7, 5, 6, 3, 3, 6, 2, 6, 5, 3, 2, 4, 1, 2, 4, 4, 4, 4, 6, 4, 5, 6, 4, 6, 5, 1, 1, 4, 7, 6, 6, 5, 4, 4, 1, 5, 6, 2, 6, 1, 3, 1, 1, 4, 6, 4, 2, 5, 2, 4, 5, 4, 2, 3, 3, 2, 2, 4, 5, 3, 5, 5, 5, 3, 5, 4, 2, 4, 3, 1, 4, 6, 3, 1, 4, 3, 7, 3, 4, 3, 5, 5, 4, 4, 4, 1, 1, 6, 6, 2, 3, 3, 7, 4, 2, 4, 2, 5, 6, 4, 7, 7, 4, 4, 5, 5, 3, 1, 4, 4, 2, 3, 3, 4, 5, 4, 2, 1, 1, 2, 1, 3, 4, 1, 4, 2, 3, 5, 6, 2, 5, 5, 6, 4, 3, 4, 5, 5, 4, 1, 5, 1, 4, 6, 5, 1, 5, 4, 4, 6, 7, 3, 4, 3, 4, 4, 5, 2, 3, 5, 5, 4, 2, 1, 3, 4, 4, 3, 3, 4, 3, 2, 2, 3, 3, 1, 5, 4, 3, 6, 6, 4, 2, 5, 6, 2, 6, 3, 3, 4, 3, 6, 4, 3, 5, 3, 4, 3, 7, 4, 1, 3, 3, 4, 5, 4, 3, 5, 7, 4, 3, 2, 4, 1, 3, 6, 3, 1, 5, 5, 5, 4, 1, 4, 3, 6, 4, 4, 6, 3, 4, 6, 4, 5, 3, 3, 2, 2, 6, 2, 4, 4, 3, 4, 4, 5, 2, 2, 5, 6, 4, 1, 6, 3, 4, 3, 2, 6, 3, 6, 6, 1, 2, 2, 5, 4, 4, 3, 4, 5, 3, 3, 2, 7, 4, 1, 3, 5, 5, 4, 4, 1, 3, 6, 3, 1, 5, 6, 4, 5, 5, 4, 4, 4, 3, 4, 4, 7, 3, 6, 1, 6, 4, 5, 6, 3, 4, 2, 5, 6, 7, 5, 4, 4, 1, 3, 5, 2, 3, 4, 5, 6, 3, 4, 2, 2, 5, 4, 4, 3, 4, 3, 4, 3, 3, 2, 4, 4, 5, 3, 1, 4, 3, 1, 2, 5, 5, 2, 6, 3, 2, 4, 3, 3, 3, 5, 4, 3, 1, 3, 7, 6, 2, 4, 1, 7, 5, 2, 2, 4, 3, 3, 4, 1, 5, 5, 2, 4, 3, 5, 3, 3, 4, 3, 2, 4, 4, 2, 3, 4, 3, 4, 3, 5, 3, 2, 4, 6, 3, 7, 4, 2, 5, 2, 4, 3, 4, 3, 4, 5, 3, 5, 3, 2, 1, 3, 4, 5, 4, 3, 5, 5, 2, 3, 6, 4, 5, 5, 4, 4, 1, 4, 2, 4, 2, 4, 4, 4, 5, 5, 3, 5, 5, 4, 4, 4, 5, 2, 2, 4, 3, 2, 4, 4, 5, 4, 3, 5, 5, 4, 5, 4, 2, 4, 6, 3, 5, 3, 4, 3, 1, 4, 3, 3, 2, 1, 4, 3, 3, 5, 4, 4, 5, 2, 1, 1, 5, 3]",targeted,-0.333362045375947,-0.33333333333333326,-0.33333333333333326,42,0.35,121.35714285714286,0.4559849704777241,0.0,0.1,1.422435320146403
2,random_n10,0.23997725609697287,4,0.8,0.1935483870967742,0.084247311827957,0.03947682926173944,,targeted_vs_random,0.36887352790578465,sparse_tail,40.45861311266119,22.5,0.33333333333333337,194,0.8,-0.14986898200928905,3.331,3.1518279569892473,3.1148000000000002,-0.196803057319465,3.0,3.0,-0.5225577368176253,10,10.0,40.0,1000,73.11111111111111,31.821896774193547,"[1, 3, 4, 2, 4, 3, 4, 3, 3, 4, 2, 7, 4, 4, 4, 5, 1, 5, 2, 3, 2, 3, 1, 3, 4, 4, 5, 4, 3, 3, 2, 4, 4, 4, 3, 3, 6, 2, 4, 3, 4, 5, 3, 3, 4, 3, 5, 3, 4, 1, 5, 4, 4, 4, 2, 6, 6, 4, 4, 2, 3, 2, 3, 3, 3, 6, 4, 2, 5, 5, 3, 4, 4, 1, 5, 5, 1, 3, 5, 5, 2, 5, 3, 4, 3, 4, 4, 4, 1, 2, 4, 4, 1, 4, 4, 6, 4, 3, 2, 2, 4, 6, 2, 1, 3, 2, 2, 3, 4, 3, 3, 4, 2, 3, 3, 4, 3, 4, 3, 5, 3, 3, 2, 3, 2, 1, 3, 5, 3, 2, 4, 5, 4, 1, 3, 4, 2, 2, 6, 4, 4, 6, 3, 3, 4, 1, 5, 6, 4, 2, 3, 5, 2, 2, 4, 1, 1, 2, 6, 1, 4, 2, 3, 2, 4, 4, 2, 4, 2, 3, 5, 3, 3, 2, 1, 2, 3, 4, 2, 3, 3, 4, 4, 3, 2, 5, 1, 4, 4, 2, 3, 6, 4, 4, 3, 3, 4, 3, 2, 5, 2, 6, 4, 2, 1, 4, 3, 3, 3, 4, 5, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 6, 3, 4, 5, 3, 4, 5, 5, 4, 5, 2, 3, 3, 1, 3, 2, 2, 2, 4, 1, 1, 3, 2, 5, 6, 6, 4, 4, 3, 4, 3, 4, 3, 2, 5, 5, 5, 3, 1, 2, 3, 2, 4, 5, 4, 2, 4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 6, 4, 3, 3, 3, 3, 4, 3, 3, 4, 1, 4, 3, 3, 2, 1, 3, 3, 4, 2, 3, 4, 3, 3, 1, 4, 3, 4, 2, 2, 2, 5, 1, 3, 4, 2, 5, 5, 4, 6, 3, 1, 2, 2, 3, 2, 1, 3, 4, 3, 4, 3, 5, 4, 5, 2, 3, 3, 4, 4, 4, 4, 1, 3, 4, 1, 3, 2, 2, 3, 3, 3, 4, 3, 4, 2, 4, 4, 4, 5, 3, 5, 3, 2, 3, 5, 5, 1, 4, 5, 3, 4, 3, 1, 4, 3, 5, 1, 4, 4, 6, 2, 5, 2, 6, 4, 4, 5, 4, 4, 1, 4, 2, 4, 4, 4, 4, 4, 4, 3, 3, 2, 2, 2, 3, 3, 1, 3, 6, 3, 2, 2, 5, 5, 4, 2, 3, 4, 3, 3, 5, 1, 5, 3, 3, 2, 4, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3, 4, 4, 4, 1, 4, 2, 4, 3, 4, 1, 3, 2, 1, 1, 1, 5, 1, 4, 4, 5, 4, 5, 2, 3, 5, 5, 3, 3, 1, 5, 2, 4, 3, 3, 4, 4, 5, 5, 3, 4, 3, 2, 2, 4, 2, 4, 2, 4, 2, 5, 5, 4, 1, 4, 4, 1, 4, 4, 3, 2, 4, 2, 4, 2, 3, 4, 5, 2, 3, 5, 2, 4, 2, 6, 5, 4, 4, 2, 5, 3, 2, 4, 6, 2, 5, 4, 5, 1, 3, 4, 1, 4, 4, 4, 4, 1, 2, 5, 2, 4, 2, 4, 3, 6, 3, 4, 2, 6, 3, 4, 5, 4, 5, 4, 2, 3, 6, 4, 3, 1, 3, 3, 1, 3, 4, 5, 3, 3, 4, 5, 3, 5, 2, 5, 4, 4, 4, 2, 3, 4, 5, 4, 4, 6, 2, 3, 4, 1, 3, 3, 2, 4, 4, 4, 4, 2, 3, 5, 3, 4, 5, 5, 5, 3, 4, 4, 5, 4, 3, 4, 3, 2, 3, 4, 3, 3, 2, 4, 4, 4, 3, 2, 3, 5, 5, 3, 4, 4, 1, 4, 4, 3, 4, 4, 5, 6, 4, 1, 1, 3, 1, 3, 4, 4, 4, 6, 5, 3, 2, 4, 2, 2, 2, 4, 1, 2, 6, 2, 1, 4, 6, 2, 4, 3, 3, 4, 5, 6, 3, 3, 1, 5, 1, 5, 4, 4, 3, 1, 6, 3, 3, 2, 3, 5, 3, 2, 6, 3, 3, 3, 5, 4, 1, 6, 5, 4, 4, 4, 4, 6, 4, 5, 2, 3, 5, 3, 5, 3, 5, 2, 2, 4, 3, 3, 3, 3, 3, 4, 1, 6, 3, 6, 2, 4, 6, 4, 3, 2, 3, 6, 4, 3, 2, 2, 5, 3, 4, 4, 3, 4, 2, 3, 6, 2, 3, 2, 4, 2, 3, 4, 3, 3, 3, 4, 3, 1, 4, 2, 4, 4, 3, 4, 5, 3, 3, 4, 3, 3, 1, 3, 4, 3, 3, 4, 3, 5, 3, 4, 6, 3, 3, 1, 3, 3, 1, 6, 1, 5, 4, 3, 2, 3, 2, 3, 7, 3, 6, 2, 5, 1, 6, 3, 4, 2, 4, 1, 1, 3, 3, 4, 4, 4, 3, 2, 2, 2, 4, 4, 3, 4, 4, 2, 2, 4, 3, 5, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 5, 4, 3, 4, 3, 5, 3, 2, 2, 4, 3, 3, 3, 2, 1, 3, 3, 3, 2, 3, 5, 1, 2, 4, 1, 2, 6, 2, 4, 4, 4, 3, 4, 6, 4, 4, 3, 3, 4, 2, 5, 2, 5, 3, 1, 5, 2, 1, 4, 1, 4, 3, 2, 2, 3, 2, 4, 2, 2, 3, 5, 1, 6, 4, 5, 5, 3, 5, 2, 2, 4, 4, 1, 4, 3, 5, 2, 4, 1, 3, 7, 4, 3, 1, 2, 1, 1, 4, 4, 2, 4, 4, 4, 2, 2, 1, 5, 2, 2, 3, 3, 4, 2, 3, 1, 1, 2, 5, 2, 5, 1, 1, 4, 4, 4, 1, 2, 4, 4, 3, 4, 2, 3, 3, 3, 2, 3, 6, 4, 3, 2, 3, 2, 5, 6, 2, 3, 2, 3, 6, 2, 4, 3, 3, 3, 4, 3, 3, 5, 3, 5, 3, 3, 4, 4, 4, 3, 2, 3, 2, 2, 3, 4, 4]",random,-0.47480664169551956,-0.41176257761107765,-0.33333333333333326,42,0.1,174.75,0.20984689282497748,0.0,0.1,1.1975395442322563
