seed,n_active,tail_load_fraction_targeted,tail_load_fraction_random,tail_load_fraction_diff
42,5,0.5257707129094412,0.2264388037195275,0.2993319091899137
42,10,0.4559849704777241,0.2098468928249774,0.24613807765274673
42,20,0.1706638859923531,0.1497584541062802,0.02090543188607291
43,5,0.4524323028995926,0.1782127221220705,0.27421958077752207
43,10,0.2098530212302667,0.1817643576080521,0.0280886636222146
43,20,0.1959304233672464,0.1486001435750179,0.04733027979222848
44,5,0.5259277463750307,0.5605413105413105,-0.03461356416627981
44,10,0.21630615640599,0.1939591353272135,0.02234702107877648
44,20,0.1384455239417071,0.1520140105078809,-0.01356848656617382
45,5,0.4847449353185257,0.4496690253366811,0.035075909981844566
45,10,0.1206236323851203,0.1399822432672388,-0.019358610882118488
45,20,0.271640826873385,0.1628067749740753,0.10883405189930967
46,5,0.521970062771608,0.2253773343566129,0.29659272841499507
46,10,0.1972176759410802,0.1972076788830715,9.997058008692772e-06
46,20,0.1191709844559585,0.1502330584438867,-0.031062073987928207
