n_active,mean,std,min,max,count
5,-0.05660529482115621,0.23508058810103127,-0.24921546337442746,0.34713838072490666,5
10,-0.13454349931264553,0.4974394337671491,-0.8335691942964509,0.561599268081119,5
20,-0.1898345276793571,0.12776525119567125,-0.37349218168279985,-0.07397499496064386,5
