condition_name,objective_J_mean,objective_J_std,objective_J_min,objective_J_max,objective_J_count,tail_load_fraction_mean,tail_load_fraction_std,tail_load_fraction_min,tail_load_fraction_max,tail_load_fraction_count,tail_efficiency_ratio_mean,tail_efficiency_ratio_std,tail_efficiency_ratio_min,tail_efficiency_ratio_max,tail_efficiency_ratio_count,mean_transport_cost_mean,mean_transport_cost_std,mean_transport_cost_min,mean_transport_cost_max,mean_transport_cost_count,q10_curvature_mean,q10_curvature_std,q10_curvature_min,q10_curvature_max,q10_curvature_count,tail_burden_concentration_mean,tail_burden_concentration_std,tail_burden_concentration_min,tail_burden_concentration_max,tail_burden_concentration_count
random_n05,23.17254551971326,1.1043506703951291,21.682,24.780643010752687,5,0.3280478392152405,0.16745232015371622,0.1782127221220705,0.5605413105413105,5,1.5108385284142178,0.08764474757515106,1.401353276353276,1.5850716260366926,5,3.9638,0.23125799445640827,3.762,4.288600000000001,5,-0.3711313124111992,0.03771963950005911,-0.40877179025595,-0.3333333333333332,5,1.7757469418436442,0.08556711402485813,1.6806643685365088,1.913290113452188,5
random_n10,30.941436702508962,0.5674947856178473,30.358543369175628,31.821896774193547,5,0.18455206158211065,0.02684551252717556,0.1399822432672388,0.2098468928249774,5,1.5261960653186537,0.3566328064654009,1.1269010221889804,2.098468928249775,5,3.1879599999999995,0.044982307633112735,3.1148,3.2346,5,-0.3809215456202456,0.0396080238469026,-0.4117625776110776,-0.3339075741856083,5,1.6505176582703605,0.4567151822329693,1.1580745341614906,2.3901975683890577,5
random_n20,51.800087455197136,0.5507543510196456,51.32073405017921,52.54034695340502,5,0.15268248832142822,0.005791443348964616,0.1486001435750179,0.1628067749740753,5,1.5268248832142821,0.05791443348964639,1.4860014357501794,1.6280677497407536,5,2.6096,0.05155734671218045,2.5528000000000004,2.6604,5,-0.340998065536601,0.027001820820946747,-0.3830847419234796,-0.3134290412471368,5,1.6221564321467477,0.07320244254545578,1.5708263069139967,1.750206440957886,5
targeted_n05,22.201188960573475,1.0018598601704536,21.27964301075269,23.774699641577055,5,0.5021691520548396,0.03275262598946895,0.4524323028995926,0.5259277463750307,5,1.355267113250155,0.09358504626491723,1.3050825181652617,1.5224126830838565,5,4.01268,0.04270142854753191,3.9575999999999993,4.0474,5,-0.3333333333333332,0.0,-0.3333333333333332,-0.3333333333333332,5,1.719141647022488,0.21232637480354488,1.5836615609044495,2.0928451178451177,5
targeted_n10,32.27589161290322,1.1405649528098158,31.07311971326165,34.123160573476696,5,0.23999709128803626,0.12668937443602543,0.1206236323851203,0.4559849704777241,5,1.3855706233972966,0.14080911232059132,1.2062363238512035,1.5777414075286416,5,3.46344,0.05558532180351179,3.4134,3.5575999999999994,5,-0.33368936266174376,0.0002994873876253742,-0.3339075741856083,-0.3333333333333332,5,1.5159741589577151,0.17662900290857783,1.23452566096423,1.7196738022426097,5
targeted_n20,51.83717155145929,0.3494430305690968,51.427031233998974,52.158306605222734,5,0.17917032892613,0.05950311841732248,0.1191709844559585,0.271640826873385,5,1.3512142584663238,0.0921495045255316,1.1917098445595853,1.4221990499362764,5,2.73268,0.12262060185792592,2.5976000000000004,2.8686,5,-0.3451891733525049,0.02016972131786862,-0.3799215984993097,-0.3333333333333332,5,1.4323219044673903,0.12234375793630622,1.2176470588235293,1.5090807488125173,5
